,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2024-09-29,00:27:38.862,   60.51,   16.96,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   58.65,   16.52,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  119.15,   33.48,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  152.63,   18.76,   15.64,    0.00,    0.00,    0.00,    0.00,  269.81,  538.85,    0.00,    0.00,  269.78,  538.73,   16.36,   14.61,    0.00,    0.00,    0.00,    0.00,  269.79,  538.80,    0.00,    0.00,  269.80,  538.78,   35.12,   30.25, 1079.18, 2155.16,    0.98,    0.98,    0.00,    0.00,   65.38,    154.28,     63.73,   1079.18,   2155.16,   1233.45,   2218.89,   3452.34
2024-09-29,00:27:39.862,   47.83,   11.51,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   46.69,   11.39,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   94.52,   22.90,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  117.42,   12.43,    7.54,    0.00,    0.00,    0.00,    0.00,  270.74,  542.48,    0.00,    0.00,  270.72,  542.42,   11.19,    6.66,    0.00,    0.00,    0.00,    0.00,  270.73,  542.46,    0.00,    0.00,  270.73,  542.52,   23.62,   14.21, 1082.92, 2169.88,    0.97,    0.96,    0.00,    0.00,   37.83,    118.14,     37.10,   1082.92,   2169.88,   1201.07,   2206.98,   3408.04
2024-09-29,00:27:40.862,   47.04,   12.03,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   45.74,   11.77,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   92.78,   23.80,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  116.57,   16.35,   14.14,    0.00,    0.00,    0.00,    0.00,  269.74,  539.05,    0.00,    0.00,  269.71,  538.94,   14.03,   13.07,    0.00,    0.00,    0.00,    0.00,  269.72,  538.96,    0.00,    0.00,  269.73,  538.92,   30.38,   27.20, 1078.91, 2155.86,    0.98,    0.97,    0.00,    0.00,   57.58,    123.15,     51.00,   1078.91,   2155.86,   1202.07,   2206.87,   3408.93
2024-09-29,00:27:41.863,   65.05,   16.75,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   63.60,   16.53,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  128.65,   33.28,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  161.93,   14.10,    8.87,    0.00,    0.00,    0.00,    0.00,  268.18,  537.46,    0.00,    0.00,  268.16,  537.50,   12.86,    8.06,    0.00,    0.00,    0.00,    0.00,  268.16,  537.52,    0.00,    0.00,  268.17,  537.58,   26.97,   16.93, 1072.66, 2150.06,    0.97,    0.97,    0.00,    0.00,   43.89,    155.62,     50.21,   1072.67,   2150.06,   1228.29,   2200.27,   3428.56
2024-09-29,00:27:42.863,   63.99,   18.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   62.26,   17.57,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  126.25,   35.57,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  161.82,   20.51,   16.09,    0.00,    0.00,    0.00,    0.00,  270.84,  540.64,    0.00,    0.00,  270.81,  540.50,   18.16,   14.92,    0.00,    0.00,    0.00,    0.00,  270.81,  540.58,    0.00,    0.00,  270.82,  540.57,   38.67,   31.00, 1083.28, 2162.29,    0.98,    0.98,    0.00,    0.00,   69.68,    164.92,     66.57,   1083.28,   2162.29,   1248.20,   2228.86,   3477.06
2024-09-29,00:27:43.863,   58.09,   15.67,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   56.59,   15.46,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  114.68,   31.13,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  145.81,   12.21,    7.95,    0.00,    0.00,    0.00,    0.00,  270.67,  542.64,    0.00,    0.00,  270.65,  542.65,   10.83,    6.94,    0.00,    0.00,    0.00,    0.00,  270.67,  542.63,    0.00,    0.00,  270.68,  542.69,   23.05,   14.89, 1082.66, 2170.61,    0.97,    0.96,    0.00,    0.00,   37.94,    137.72,     46.02,   1082.66,   2170.61,   1220.38,   2216.63,   3437.01
2024-09-29,00:27:44.862,   63.23,   16.60,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   61.38,   16.05,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  124.61,   32.65,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  157.26,   26.26,   20.46,    0.00,    0.00,    0.00,    0.00,  246.75,  491.70,    0.00,    0.00,  246.73,  491.73,   23.34,   19.18,    0.00,    0.00,    0.00,    0.00,  246.71,  491.75,    0.00,    0.00,  246.71,  491.62,   49.59,   39.64,  986.89, 1966.80,    0.99,    0.98,    0.00,    0.00,   89.24,    174.20,     72.30,    986.89,   1966.80,   1161.09,   2039.10,   3200.19
2024-09-29,00:27:45.863,   47.24,   11.72,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   46.08,   11.41,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   93.32,   23.14,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  116.46,   11.18,    7.47,    0.00,    0.00,    0.00,    0.00,  242.05,  483.72,    0.00,    0.00,  242.04,  483.71,    9.94,    6.56,    0.00,    0.00,    0.00,    0.00,  242.05,  483.59,    0.00,    0.00,  242.05,  483.73,   21.12,   14.02,  968.19, 1934.75,    0.96,    0.96,    0.00,    0.00,   35.14,    114.44,     37.16,    968.19,   1934.75,   1082.63,   1971.91,   3054.54
2024-09-29,00:27:46.863,   72.74,   16.90,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   71.02,   16.50,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  143.76,   33.39,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  177.15,   20.53,   16.56,    0.00,    0.00,    0.00,    0.00,  237.93,  479.03,    0.00,    0.00,  237.95,  478.98,   17.95,   15.38,    0.00,    0.00,    0.00,    0.00,  237.97,  478.94,    0.00,    0.00,  237.98,  479.07,   38.48,   31.95,  951.83, 1916.02,    0.98,    0.98,    0.00,    0.00,   70.43,    182.24,     65.34,    951.83,   1916.02,   1134.07,   1981.36,   3115.43
2024-09-29,00:27:47.863,   36.50,    9.81,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   35.46,    9.82,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   71.96,   19.63,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,   91.59,    9.45,    6.27,    0.00,    0.00,    0.00,    0.00,  230.18,  461.63,    0.00,    0.00,  230.17,  461.64,    8.36,    5.42,    0.00,    0.00,    0.00,    0.00,  230.16,  461.83,    0.00,    0.00,  230.15,  461.83,   17.80,   11.68,  920.67, 1846.92,    0.96,    0.95,    0.00,    0.00,   29.49,     89.76,     31.32,    920.67,   1846.92,   1010.43,   1878.24,   2888.67
